name,office,office_full,party,party_full,state,district,district_number,election_districts,election_years,cycles,candidate_status,incumbent_challenge,incumbent_challenge_full,load_date,first_file_date,last_file_date,last_f2_date,candidate_id,active_through,candidate_inactive,inactive_election_years
"HOFF, SAMUEL B DR",P,President,IND,INDEPENDENT,US,00,0,"{00,00,00,00,00,00,00,00,00}","{1988,1992,1996,2000,2004,2008,2012,2016,2020}","{1988,1990,1992,1994,1996,2000,2002,2004,2006,2008,2012,2014,2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,1987-02-05,2018-09-10,2018-09-10,P80000672,2020,f,
"CARTER, WILLIE FELIX",P,President,DEM,DEMOCRATIC PARTY,US,00,0,"{00,00,00,00,00,00,00,00,00}","{1988,1990,1992,2000,2004,2008,2012,2016,2020}","{1986,1988,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020}",C,C,Challenger,2019-04-03 21:06:26,1986-02-05,2019-02-25,2019-02-25,P80000268,2020,f,
"GILLESPIE, NEIL",P,President,OTH,OTHER,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-06-10 21:08:12,2016-09-11,2019-04-26,2019-04-26,P60022993,2020,f,
"SORRELLS, JOY L",P,President,IND,INDEPENDENT,US,00,0,"{00,00}","{2016,2020}","{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2016-08-18,2016-11-21,2016-11-21,P60022696,2020,f,
"MARCINEK, ALOYSIUS R",P,President,IND,INDEPENDENT,US,00,0,"{00,00}","{2016,2020}","{1996,2016,2020}",N,C,Challenger,2019-02-13 21:28:01,1996-11-13,2019-03-27,2019-01-28,P00001099,2020,f,
"IWACHIW, WALTER N",P,President,REP,REPUBLICAN PARTY,US,00,0,"{00,00,00}","{2000,2016,2020}","{2000,2016,2018,2020}",N,C,Challenger,2019-12-30 21:08:41,2000-12-19,2019-12-19,2019-12-02,P00004846,2020,f,
"BICKELMEYER, MICHAEL",P,President,REP,REPUBLICAN PARTY,US,00,0,"{00,00}","{2016,2020}","{2014,2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2013-11-27,2016-07-05,2016-07-05,P00004861,2020,f,
"HURLEY, CHRISTOPHER JAMES",P,President,UN,UNAFFILIATED,US,00,0,{00},{2020},"{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2015-09-20,2015-10-20,2015-09-20,P00004929,2020,f,
"HALE, CRYSTAL ANN MRS",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2016-02-27,2016-03-24,2016-02-27,P00005033,2020,f,
"LASSITER, JORDAN R",P,President,FHB,,US,00,0,{00},{2020},"{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2016-03-08,2016-03-08,2016-03-08,P00005041,2020,f,
"LUTALO, RONALD MUWEREZA MR SR",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},"{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2016-05-06,2016-05-06,2016-05-06,P00005074,2020,f,
"BOYER, GREGORY",P,President,W,WRITE-IN,US,00,0,{00},{2020},"{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2016-06-29,2016-06-29,2016-06-29,P00005090,2020,f,
"BLAKELY, ERIKA RONICE MISS",P,President,CIT,CITIZENS' PARTY,US,00,0,{00},{2020},"{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2016-10-27,2016-10-27,2016-10-27,P00005215,2020,f,
"LARSON, CORGAN",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2016-10-30,2017-03-02,2016-10-30,P00005223,2020,f,
"CAMPBELL, JOSEPH CHARLES",P,President,LIB,LIBERTARIAN PARTY,US,00,0,{00},{2020},"{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2016-10-31,2016-10-31,2016-10-31,P00005249,2020,f,
"PANAGOPOULOS, DIMITRI ANASTASIOS MR. L",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},"{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2016-11-06,2016-11-06,2016-11-06,P00005264,2020,f,
"JORGENSON, CHAD MICHAEL",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2016-11-10,2016-11-10,2016-11-10,P00005314,2020,f,
"RUNDBLADE, SHAWN ERIC",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2016-11-11,2016-11-11,2016-11-11,P00005330,2020,f,
"COLLINS, JOE EDWARD III",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},"{2016,2018,2020}",C,C,Challenger,2019-03-27 21:06:35,2016-11-25,2019-03-08,2019-03-08,P00005439,2020,f,
"CRAIG, KEELY ANN",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},"{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2016-12-27,2016-12-27,2016-12-27,P00005488,2020,f,
"BERNICE, ANTHONY GAETANO MR.",P,President,IAP,INDEPENDENT AMERICAN PARTY,US,00,0,{00},{2020},"{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2016-12-28,2017-01-04,2016-12-28,P00005504,2020,f,
"KORN, BERNARD",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2016,2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2016-12-29,2017-02-07,2016-12-29,P00005512,2020,f,
"MCLAIN, KELLY MR.",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-01-24,2017-01-24,2017-01-24,P00005603,2020,f,
"O'KEEFE, JOHN",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-02-13,2017-02-13,2017-02-13,P00005660,2020,f,
"JOLLY, STEVEN JON",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-03-10,2017-03-10,2017-03-10,P00005728,2020,f,
"FELICIANO, NELSON",P,President,UNK,UNKNOWN,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-04-03,2017-04-09,2017-04-03,P00005777,2020,f,
"PATILIO, EUGENE",P,President,GRE,GREEN PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-04-13,2017-04-13,2017-04-13,P00005827,2020,f,
"ALTMAN, JOEL LEVI",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-04-21,2017-04-24,2017-04-21,P00005835,2020,f,
"OAKES, KEVIN",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-04-26,2017-05-02,2017-04-26,P00005850,2020,f,
"GREENE, ROSALIND FRANCINA",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-04-26,2017-05-03,2017-04-26,P00005868,2020,f,
"WEISMAN, WARREN LEE",P,President,UNK,UNKNOWN,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-05-31,2017-06-07,2017-05-31,P00006015,2020,f,
"HOY, JOSHUA ALEXANDER MR.",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-07-10,2017-10-01,2017-07-10,P00006106,2020,f,
"KELSER, RICHARD DUSTIN",P,President,UNK,UNKNOWN,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-07-13,2017-07-13,2017-07-13,P00006114,2020,f,
"COOPER, ROBERT W JR MR",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,,,,P00006205,2020,f,
"HEATON, TYRELL J",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-07-19 11:45:25,2017-08-18,2017-08-18,2017-08-18,P00006254,2020,f,
"BAUER, MARK L",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-09-12,2017-09-12,2017-09-12,P00006312,2020,f,
"BLUFORD, LARRY D MR. SR",P,President,W,WRITE-IN,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-11-10,2017-11-10,2017-11-10,P00006502,2020,f,
"JACKSON, LAWRENCE CHRISTOPER MR.",P,President,ICD,INDEPENDENT CONSERVATIVE DEMOCRATIC,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-11-23,2017-11-23,2017-11-23,P00006577,2020,f,
"HAWTHORNE, REV. DE'SEAN SUNLIGHT M",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-11-25,2017-11-25,2017-11-25,P00006593,2020,f,
"MARTINI, JOHN PATRICK MR.",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-11-29,2017-11-29,2017-11-29,P00006601,2020,f,
"MCCATTY, SCOTT",P,President,W,WRITE-IN,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-12-04,2017-12-04,2017-12-04,P00006619,2020,f,
"OHLEGER, MICHAEL JR",P,President,W,WRITE-IN,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-12-06,2017-12-14,2017-12-06,P00006635,2020,f,
"FULLER, REV VERONICA RONNIE",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-12-22,2017-12-22,2017-12-22,P00006684,2020,f,
"FRANK, DAVID",P,President,IND,INDEPENDENT,US,00,0,"{00,00}","{2018,2020}","{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2017-12-26,2018-05-24,2018-05-24,P00006742,2020,f,
"ANDERSON, JOE EDWARD PASTOR DR.",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-01-13,2018-01-13,2018-01-13,P00006858,2020,f,
"VOSS, TROY",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-01-19,2018-01-19,2018-01-19,P00006882,2020,f,
"MILLER, PATRICK ROBERT",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-01-21,2018-01-21,2018-01-21,P00006916,2020,f,
"HOUSE, DANIEL JONATHAN",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-01-22,2018-04-09,2018-04-09,P00006940,2020,f,
"WILSON, KENNETH ALAN",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-01-30,2018-01-30,2018-01-30,P00007062,2020,f,
"WILKERSON, DAVID ALAN",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-02-11,2018-02-11,2018-02-11,P00007120,2020,f,
"O'DONNELL, JOHN ROBERT",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-02-19,2018-02-19,2018-02-19,P00007161,2020,f,
"BACHAR, SHAWN",P,President,IDP,INDEPENDENCE PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-02-20,2018-02-20,2018-02-20,P00007187,2020,f,
"HODGES, CHARLES LANDON",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-02-21,2018-02-21,2018-02-21,P00007195,2020,f,
"SHUMATE, WILLIAM SCOTT",P,President,NNE,NONE,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-02-24,2018-02-24,2018-02-24,P00007211,2020,f,
"PEACH, JASON DANIEL",P,President,LIB,LIBERTARIAN PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-03-07,2018-04-04,2018-03-07,P00007310,2020,f,
"SYLVESTER, PAUL LOUIS",P,President,OTH,OTHER,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-03-29,2018-03-29,2018-03-29,P00007393,2020,f,
"ARENDT, DEVIN 1983",P,President,NPA,NO PARTY AFFILIATION,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-04-11,2018-04-11,2018-04-11,P00007450,2020,f,
"GOMEZ, RUDY EDWARD",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-04-14,2018-05-15,2018-04-14,P00007476,2020,f,
"BREEDEN, TIMOTHY D",P,President,NNE,NONE,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-04-29,2018-04-29,2018-04-29,P00007575,2020,f,
"CHARBONNEAU, JACK LEWIS",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-05-17,2018-05-17,2018-05-17,P00007666,2020,f,
"SWING, GARY",P,President,GRE,GREEN PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-05-18,2018-11-07,2018-05-18,P00007674,2020,f,
"CRISELL, THEODORE MILLARD MR.",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-05-28,2018-05-28,2018-05-28,P00007708,2020,f,
"CLARK, MELVIN WAYNE",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-05-21,2018-05-21,2018-05-21,P00007716,2020,f,
"HENDRY, RICHARD HAMPTON MR.",P,President,NPA,NO PARTY AFFILIATION,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-06-01,2018-06-01,2018-06-01,P00007773,2020,f,
"FITZPATRICK, JON W",P,President,UNK,UNKNOWN,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-06-06,2018-06-28,2018-06-06,P00007815,2020,f,
"LEE, HUHNKIE",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-06-08,2018-06-08,2018-06-08,P00007823,2020,f,
"HALLMAN, MICHAEL L",P,President,NNE,NONE,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-07-03,2018-07-03,2018-07-03,P00007880,2020,f,
"KOZLOWSKI, BENJAMIN PETER",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-07-15,2019-02-19,2018-07-15,P00007963,2020,f,
"BOBLIT, DANIEL JAMES MR",P,President,NNE,NONE,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-07-30,2018-07-30,2018-07-30,P00008029,2020,f,
"JOSEPH, DEJAWON",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-08-01,2018-08-01,2018-08-01,P00008037,2020,f,
"CABRAL, CHRISTINA MARIE",P,President,IAP,INDEPENDENT AMERICAN PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-08-08,2018-08-17,2018-08-08,P00008086,2020,f,
"LONG, STEVEN FLOYD",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-08-22,2018-08-22,2018-08-22,P00008177,2020,f,
"RICHEY, STEVEN ALLEN",P,President,LIB,LIBERTARIAN PARTY,US,00,0,{00},{2020},"{2018,2020}",C,C,Challenger,2019-11-05 22:01:48,2018-08-24,2018-08-24,2018-08-24,P00008185,2020,f,
"AHN, SHINAE MS",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2020-06-12 21:11:07,2018-08-26,2020-06-11,2020-06-11,P00008193,2020,f,
"PRIDMORE, JAY P",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2020-07-02 21:11:49,2018-08-29,2020-06-25,2020-06-25,P00008219,2020,f,
"PENNINGTON JR, MEREDITHE FLOYD",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-09-10,2018-09-10,2018-09-10,P00008284,2020,f,
"VOTRUBA, GREGORY FRANCIS",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-09-17,2018-09-17,2018-09-17,P00008300,2020,f,
"COLLINSON, SEAN",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",C,C,Challenger,2019-04-03 21:06:26,2018-09-20,2018-09-20,2018-09-20,P00008342,2020,f,
"MCGURN, MATTHEW JAMES MR",P,President,NNE,NONE,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-09-26,2018-09-26,2018-09-26,P00008391,2020,f,
"SEAMAN, ADAM",P,President,OTH,OTHER,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-10-07,2018-10-07,2018-10-07,P00008466,2020,f,
"GLASS, ANGELA",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-02-07 21:29:52,2018-10-17,2019-02-06,2019-02-06,P00008524,2020,f,
"HUDSON HALE, MICHELLE R",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-11-12 21:10:13,2018-10-24,2019-11-06,2019-11-06,P00008557,2020,f,
"CAUITT, PAUL DONALD",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-10-25,2018-10-25,2018-10-25,P00008581,2020,f,
"MCMURRAY, JENNIFER",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-11-02,2018-11-02,2018-11-02,P00008623,2020,f,
"NICHOLS, CURT",P,President,GRE,GREEN PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-11-07,2018-11-07,2018-11-07,P00008722,2020,f,
"NEVIN, JACK ANGUS",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-11-08,2018-11-08,2018-11-08,P00008730,2020,f,
"PINKNEY BUTTS, REV PAMELA M",P,President,OTH,OTHER,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-11-19,2018-11-28,2018-11-28,P00008839,2020,f,
"VANDAM, MARVIN GERALD",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-11-21,2018-12-19,2018-11-21,P00008847,2020,f,
"SMITH SR, RAEFORD GAMELLE",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-12-03,2018-12-23,2018-12-03,P00008912,2020,f,
"POWERS, CHRISTIN NOEL MS.",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",C,C,Challenger,2019-05-16 21:09:24,2018-12-07,2019-04-01,2019-04-01,P00008946,2020,f,
"CASTRO, JULIAN",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},"{2018,2020}",C,C,Challenger,2019-08-29 21:16:21,2018-12-19,2019-08-29,2019-08-29,P00009092,2020,f,
"FRANCISCO, HUBERT SEAN",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},"{2018,2020}",N,C,Challenger,2019-01-28 21:05:11,2018-12-31,2018-12-31,2018-12-31,P00009100,2020,f,
"GONZALEZ, RAYMOND",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-04-29 21:04:50,2019-01-09,2019-04-29,2019-04-29,P00009159,2020,f,
"OTT, MICHAEL JAMES MR.",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-01-28 21:05:11,2019-01-12,2019-01-12,2019-01-12,P00009191,2020,f,
"SENEY, RAYMOND J",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-01-28 21:05:11,2019-01-12,2019-01-12,2019-01-12,P00009225,2020,f,
"KNEIP, KODY ALLEN",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-01-28 21:05:11,2019-01-14,2019-01-14,2019-01-14,P00009241,2020,f,
"MOLDAFSKY, ROBERT ION",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-01-28 21:05:11,2019-01-15,2019-01-15,2019-01-15,P00009308,2020,f,
"KINCADE, ROSE",P,President,OTH,OTHER,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-01-28 21:05:11,2019-01-18,2019-01-18,2019-01-18,P00009373,2020,f,
"EDWARDS., JASENL LEMAR EXECUTOR.",P,President,UNK,UNKNOWN,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-08-25 21:06:39,2019-01-18,2019-08-25,2019-08-25,P00009381,2020,f,
"ELIAS, BENJAMIN MARC MR.",P,President,UN,UNAFFILIATED,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-01-28 21:05:11,2019-01-21,2019-01-21,2019-01-21,P00009431,2020,f,
"WILSON, KURTIS KING MR",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-04-17 21:18:58,2019-01-21,2019-04-17,2019-04-17,P00009456,2020,f,
"HIPPLE, HUNTER",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-01-28 21:05:11,2019-01-22,2019-01-22,2019-01-22,P00009464,2020,f,
"PERKINS, KYRIAL GREGORY",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-01-30 21:09:45,2019-01-28,2019-01-28,2019-01-28,P00009613,2020,f,
"ROBINSON, BELLA",P,President,IND,INDEPENDENT,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-02-13 21:28:01,2019-01-29,2019-01-29,2019-01-29,P00009753,2020,f,
"ALCANTARA, CARLOS ANTONIO",P,President,NNE,NONE,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-02-13 21:28:01,2019-02-02,2019-02-02,2019-02-02,P00009852,2020,f,
"SMITH, JESSE JAMES MR.",P,President,IDP,INDEPENDENCE PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-02-13 21:28:01,2019-02-02,2019-05-13,2019-02-02,P00009878,2020,f,
"WILLIAMSON, MARIANNE",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},{2020},C,C,Challenger,2019-05-16 21:09:24,2019-02-04,2019-02-04,2019-02-04,P00009910,2020,f,
"ATHANS, JAMES NO MIDDLE NAME JR.",P,President,DEM,DEMOCRATIC PARTY,US,00,0,{00},{2020},{2020},N,C,Challenger,2019-02-13 21:28:01,2019-02-07,2019-02-07,2019-02-07,P00009977,2020,f,
"VILLARI, TIMOTHY MICHAEL MR.",P,President,REP,REPUBLICAN PARTY,US,00,0,{00},{2020},{2020},C,C,Challenger,2019-05-16 21:09:24,2019-02-11,2019-02-11,2019-02-11,P00010033,2020,f,
